,s,a,r,s1
126,[-0.43847492 -0.0099781 ],[0.36724645],-0.013486995429846972,[-0.44853365 -0.01005874]
127,[-0.44853365 -0.01005874],[-0.14789219],-0.0021872100456372446,[-0.4593725  -0.01083883]
128,[-0.4593725  -0.01083883],[0.7446934],-0.055456825773320874,[-0.469573   -0.01020051]
129,[-0.469573   -0.01020051],[0.6070828],-0.036854950684272934,[-0.4792663 -0.0096933]
130,[-0.4792663 -0.0096933],[0.8856635],-0.07843998518276295,[-0.4879626  -0.00869632]
131,[-0.4879626  -0.00869632],[-0.60638326],-0.03677006629378674,[-0.49783528 -0.00987266]
132,[-0.49783528 -0.00987266],[0.11805017],-0.0013935841568536722,[-0.5077239  -0.00988862]
133,[-0.5077239  -0.00988862],[-0.9136192],-0.08347000796226532,[-0.519102   -0.01137806]
134,[-0.519102   -0.01137806],[-0.6346054],-0.04027240235009231,[-0.53146565 -0.0123637 ]
135,[-0.53146565 -0.0123637 ],[-0.3956911],-0.015657144407308365,[-0.5443639  -0.01289824]
136,[-0.5443639  -0.01289824],[-0.7715515],-0.0595291701458919,[-0.55826384 -0.01389993]
137,[-0.55826384 -0.01389993],[-0.88328],-0.07801835217067357,[-0.5732292  -0.01496533]
138,[-0.5732292  -0.01496533],[-0.92351425],-0.08528785643022872,[-0.58920896 -0.01597974]
139,[-0.58920896 -0.01597974],[-0.6435195],-0.04141173735986428,[-0.6056651  -0.01645612]
140,[-0.6056651  -0.01645612],[-0.86896956],-0.07551080956321954,[-0.50924456 -0.00142173]
141,[-0.50924456 -0.00142173],[-0.86764747],-0.07528121305379934,[-0.51207536 -0.00283082]
142,[-0.51207536 -0.00283082],[-0.12750469],-0.0016257446349815519,[-0.51518387 -0.00310849]
143,[-0.51518387 -0.00310849],[0.88281137],-0.07793559106079649,[-0.51703125 -0.00184738]
144,[-0.51703125 -0.00184738],[-0.5453392],-0.029739487220253127,[-0.5197459  -0.00271464]
145,[-0.5197459  -0.00271464],[0.6650445],-0.044228416905420787,[-0.5214919  -0.00174597]
146,[-0.5214919  -0.00174597],[0.8983496],-0.08070319735439035,[-5.2190614e-01 -4.1424649e-04]
147,[-5.2190614e-01 -4.1424649e-04],[0.09023861],-0.0008143006449559177,[-5.221977e-01 -2.915833e-04]
148,[-5.221977e-01 -2.915833e-04],[0.79137427],-0.06262732291206739,[-0.5213128   0.00088497]
149,[-0.5213128   0.00088497],[-0.7502983],-0.05629475708662177,[-5.2157038e-01 -2.5762213e-04]
150,[-5.2157038e-01 -2.5762213e-04],[-0.561455],-0.0315231729790014,[-0.5226854  -0.00111502]
151,[-0.5226854  -0.00111502],[0.90538746],-0.08197264548718444,[-5.224492e-01  2.362135e-04]
152,[-5.224492e-01  2.362135e-04],[0.5414902],-0.029321163364387816,[-0.5214094   0.00103983]
153,[-0.5214094   0.00103983],[0.9618171],-0.09250921064270622,[-0.51894325  0.00246613]
154,[-0.51894325  0.00246613],[0.5656159],-0.031992133774707554,[-0.5156636   0.00327964]
155,[-0.5156636   0.00327964],[0.6620318],-0.043828614308197095,[-0.51145047  0.00421318]
156,[-0.51145047  0.00421318],[0.49928316],-0.024928367859239933,[-0.50657946  0.00487101]
157,[-0.50657946  0.00487101],[-0.6018389],-0.03622100455898227,[-0.5027388   0.00384067]
158,[-0.5027388   0.00384067],[0.48006058],-0.02304581579664955,[-0.49833438  0.00440441]
159,[-0.49833438  0.00440441],[0.5251535],-0.0275786217176929,[-0.49333155  0.00500284]
160,[-0.49333155  0.00500284],[-0.38006917],-0.014445257126463051,[-0.5091582 -0.0006835]
