,s,a,r,s1
252,[-0.03870223  0.01998863  0.02180262  0.04133672],1,1.0,[-0.03830246  0.21479127  0.02262936 -0.24438831]
253,[-0.03830246  0.21479127  0.02262936 -0.24438831],0,1.0,[-0.03400664  0.01935353  0.01774159  0.0553457 ]
254,[-0.03400664  0.01935353  0.01774159  0.0553457 ],1,1.0,[-0.03361956  0.21421665  0.01884851 -0.23168725]
255,[-0.03361956  0.21421665  0.01884851 -0.23168725],1,1.0,[ 0.03183712  0.17875913 -0.01010673 -0.2850891 ]
256,[ 0.03183712  0.17875913 -0.01010673 -0.2850891 ],0,1.0,[ 0.0354123  -0.01621723 -0.01580851  0.00438918]
257,[ 0.0354123  -0.01621723 -0.01580851  0.00438918],0,1.0,[ 0.03508795 -0.21110894 -0.01572073  0.2920427 ]
258,[ 0.03508795 -0.21110894 -0.01572073  0.2920427 ],1,1.0,[ 0.03086578 -0.01576641 -0.00987988 -0.00555659]
259,[ 0.03086578 -0.01576641 -0.00987988 -0.00555659],1,1.0,[ 0.03055045  0.17949583 -0.00999101 -0.30134028]
260,[ 0.03055045  0.17949583 -0.00999101 -0.30134028],1,1.0,[ 0.00799328  0.16140181 -0.03541464 -0.2941456 ]
261,[ 0.00799328  0.16140181 -0.03541464 -0.2941456 ],1,1.0,[ 0.01122132  0.3570103  -0.04129755 -0.5977841 ]
262,[ 0.01122132  0.3570103  -0.04129755 -0.5977841 ],1,1.0,[ 0.01836152  0.552685   -0.05325323 -0.903184  ]
263,[ 0.01836152  0.552685   -0.05325323 -0.903184  ],1,1.0,[ 0.02941522  0.74848634 -0.07131691 -1.2121186 ]
264,[ 0.02941522  0.74848634 -0.07131691 -1.2121186 ],1,1.0,[ 0.04438495  0.94445264 -0.09555928 -1.5262703 ]
265,[ 0.04438495  0.94445264 -0.09555928 -1.5262703 ],0,1.0,[ 0.02392776 -0.20663528  0.04056009  0.3125283 ]
266,[ 0.02392776 -0.20663528  0.04056009  0.3125283 ],1,1.0,[ 0.01979505 -0.01211392  0.04681066  0.03290765]
267,[ 0.01979505 -0.01211392  0.04681066  0.03290765],0,1.0,[ 0.01955277 -0.2078748   0.04746881  0.33998463]
268,[ 0.01955277 -0.2078748   0.04746881  0.33998463],0,1.0,[ 0.01539528 -0.4036389   0.0542685   0.6472506 ]
269,[ 0.01539528 -0.4036389   0.0542685   0.6472506 ],0,1.0,[ 0.0073225  -0.5994733   0.06721351  0.9565168 ]
270,[ 0.0073225  -0.5994733   0.06721351  0.9565168 ],0,1.0,[-0.04416809 -0.20364058  0.02686534  0.3351191 ]
271,[-0.04416809 -0.20364058  0.02686534  0.3351191 ],0,1.0,[-0.0482409  -0.39913437  0.03356772  0.63615143]
272,[-0.0482409  -0.39913437  0.03356772  0.63615143],0,1.0,[-0.05622359 -0.594708    0.04629075  0.93921363]
273,[-0.05622359 -0.594708    0.04629075  0.93921363],0,1.0,[-0.06811775 -0.7904224   0.06507502  1.2460754 ]
274,[-0.06811775 -0.7904224   0.06507502  1.2460754 ],1,1.0,[-0.08392619 -0.59619266  0.08999653  0.974466  ]
275,[-0.08392619 -0.59619266  0.08999653  0.974466  ],0,1.0,[ 0.04169405 -0.23104598  0.04656057  0.27412528]
276,[ 0.04169405 -0.23104598  0.04656057  0.27412528],1,1.0,[ 0.03707314 -0.03661821  0.05204308 -0.00351642]
277,[ 0.03707314 -0.03661821  0.05204308 -0.00351642],0,1.0,[ 0.03634077 -0.23244642  0.05197275  0.30512193]
278,[ 0.03634077 -0.23244642  0.05197275  0.30512193],0,1.0,[ 0.03169184 -0.428269    0.05807519  0.6137323 ]
279,[ 0.03169184 -0.428269    0.05807519  0.6137323 ],0,1.0,[ 0.02312646 -0.62415236  0.07034983  0.92412645]
280,[ 0.02312646 -0.62415236  0.07034983  0.92412645],1,1.0,[-0.03186722  0.24204464 -0.03639862 -0.26756725]
281,[-0.03186722  0.24204464 -0.03639862 -0.26756725],0,1.0,[-0.02702632  0.04746055 -0.04174997  0.01341673]
282,[-0.02702632  0.04746055 -0.04174997  0.01341673],0,1.0,[-0.02607711 -0.14703855 -0.04148164  0.29264024]
283,[-0.02607711 -0.14703855 -0.04148164  0.29264024],0,1.0,[-0.02901788 -0.34154525 -0.03562883  0.57195723]
284,[-0.02901788 -0.34154525 -0.03562883  0.57195723],1,1.0,[-0.03584879 -0.14594232 -0.02418969  0.26826632]
285,[-0.03584879 -0.14594232 -0.02418969  0.26826632],0,1.0,[ 0.04858757 -0.21381676 -0.01545577  0.25047946]
286,[ 0.04858757 -0.21381676 -0.01545577  0.25047946],0,1.0,[ 0.04431124 -0.40871462 -0.01044618  0.5382475 ]
287,[ 0.04431124 -0.40871462 -0.01044618  0.5382475 ],0,1.0,[ 3.6136944e-02 -6.0368818e-01  3.1877231e-04  8.2762074e-01]
288,[ 3.6136944e-02 -6.0368818e-01  3.1877231e-04  8.2762074e-01],0,1.0,[ 0.02406318 -0.7988145   0.01687119  1.1204039 ]
289,[ 0.02406318 -0.7988145   0.01687119  1.1204039 ],1,1.0,[ 0.00808689 -0.60391784  0.03927927  0.83306044]
290,[ 0.00808689 -0.60391784  0.03927927  0.83306044],0,1.0,[ 0.03033788 -0.18612644  0.03659481  0.28282252]
291,[ 0.03033788 -0.18612644  0.03659481  0.28282252],0,1.0,[ 0.02661535 -0.38175073  0.04225126  0.586819  ]
292,[ 0.02661535 -0.38175073  0.04225126  0.586819  ],0,1.0,[ 0.01898033 -0.5774382   0.05398764  0.89250636]
293,[ 0.01898033 -0.5774382   0.05398764  0.89250636],0,1.0,[ 0.00743157 -0.7732492   0.07183777  1.2016597 ]
294,[ 0.00743157 -0.7732492   0.07183777  1.2016597 ],1,1.0,[-0.00803341 -0.57912606  0.09587096  0.93232805]
295,[-0.00803341 -0.57912606  0.09587096  0.93232805],0,1.0,[-0.03183138 -0.15047656 -0.03322328  0.23823008]
296,[-0.03183138 -0.15047656 -0.03322328  0.23823008],0,1.0,[-0.03484091 -0.3451085  -0.02845867  0.52025104]
297,[-0.03484091 -0.3451085  -0.02845867  0.52025104],1,1.0,[-0.04174308 -0.14959775 -0.01805365  0.21873793]
298,[-0.04174308 -0.14959775 -0.01805365  0.21873793],1,1.0,[-0.04473504  0.04577756 -0.01367889 -0.07958477]
299,[-0.04473504  0.04577756 -0.01367889 -0.07958477],0,1.0,[-0.04381948 -0.14914566 -0.01527059  0.20875123]
300,[-0.04381948 -0.14914566 -0.01527059  0.20875123],1,1.0,[ 0.02552219  0.17849469 -0.04915362 -0.28897858]
301,[ 0.02552219  0.17849469 -0.04915362 -0.28897858],0,1.0,[ 0.02909209 -0.01589312 -0.05493319 -0.01219436]
302,[ 0.02909209 -0.01589312 -0.05493319 -0.01219436],0,1.0,[ 0.02877422 -0.21018599 -0.05517708  0.2626631 ]
303,[ 0.02877422 -0.21018599 -0.05517708  0.2626631 ],0,1.0,[ 0.0245705  -0.4044787  -0.04992381  0.5374448 ]
304,[ 0.0245705  -0.4044787  -0.04992381  0.5374448 ],0,1.0,[ 0.01648093 -0.5988645  -0.03917492  0.8139887 ]
305,[ 0.01648093 -0.5988645  -0.03917492  0.8139887 ],0,1.0,[-0.04395879 -0.18811914  0.04603856  0.29172438]
306,[-0.04395879 -0.18811914  0.04603856  0.29172438],0,1.0,[-0.04772117 -0.38386625  0.05187305  0.5985645 ]
307,[-0.04772117 -0.38386625  0.05187305  0.5985645 ],0,1.0,[-0.0553985  -0.5796742   0.06384434  0.9071251 ]
308,[-0.0553985  -0.5796742   0.06384434  0.9071251 ],0,1.0,[-0.06699198 -0.77559966  0.08198684  1.2191721 ]
