,s,a,r,s1
119,[-0.46077806  0.8875154  -1.0396531 ],[0.2503698],-4.309289417963251,[-0.44578284  0.8951411  -0.33646104]
120,[-0.44578284  0.8951411  -0.33646104],[1.8061533],-4.147041347131113,[-0.47268882  0.8812294   0.6058178 ]
121,[-0.47268882  0.8812294   0.6058178 ],[-1.1733301],-4.294607680585048,[-0.52002186  0.854153    1.0907403 ]
122,[-0.52002186  0.854153    1.0907403 ],[-1.2008792],-4.604951854457215,[-0.58464116  0.811292    1.5512232 ]
123,[-0.58464116  0.811292    1.5512232 ],[0.88104856],-5.060457933928405,[-0.6735714   0.73912215  2.2918494 ]
124,[-0.6735714   0.73912215  2.2918494 ],[0.97857875],-5.861513393150184,[-0.77623963  0.63043797  2.9929779 ]
125,[-0.77623963  0.63043797  2.9929779 ],[-1.7291336],-6.947800712183217,[-0.86692566  0.49843746  3.2064364 ]
126,[-0.86692566  0.49843746  3.2064364 ],[0.80085933],-7.8921021086721375,[-0.943825    0.33044574  3.7003934 ]
127,[-0.943825    0.33044574  3.7003934 ],[-1.9217929],-9.239981993939722,[-0.9881995  0.1531725  3.6599586]
128,[-0.9881995  0.1531725  3.6599586],[-0.6061822],-10.26693448101683,[-0.9995374  -0.03041299  3.6839108 ]
129,[-0.9995374  -0.03041299  3.6839108 ],[-1.5836145],-11.039037390140798,[-0.9797483 -0.2002329  3.4235587]
130,[-0.9797483 -0.2002329  3.4235587],[-1.5705317],-9.818124628871857,[-0.93817174 -0.34617022  3.0378044 ]
131,[-0.93817174 -0.34617022  3.0378044 ],[-1.2034637],-8.697813482924724,[-0.88543427 -0.46476457  2.5976572 ]
132,[-0.88543427 -0.46476457  2.5976572 ],[1.8679885],-7.7444262538039,[-0.8197438 -0.5727304  2.529282 ]
133,[-0.8197438 -0.5727304  2.529282 ],[0.8035235],-7.050180357575116,[-0.75124764 -0.6600204   2.2202628 ]
134,[-0.75124764 -0.6600204   2.2202628 ],[-1.6010262],-6.355534609295819,[-0.70021296 -0.71393406  1.4850935 ]
135,[-0.70021296 -0.71393406  1.4850935 ],[1.7129164],-5.729509248362942,[-0.6558943 -0.7548528  1.2065804]
136,[-0.6558943 -0.7548528  1.2065804],[0.22024326],-5.372173488139284,[-0.6301084  -0.77650714  0.6734773 ]
137,[-0.6301084  -0.77650714  0.6734773 ],[-1.3620825],-5.120919825029994,[-0.63449395 -0.7729278  -0.11321543]
138,[-0.63449395 -0.7729278  -0.11321543],[-1.2488805],-5.102082559257973,[-0.66788673 -0.74426293 -0.88024336]
139,[-0.66788673 -0.74426293 -0.88024336],[1.85525],-5.380875103736781,[-0.7099121 -0.7042903 -1.160153 ]
140,[-0.7099121 -0.7042903 -1.160153 ],[0.2547762],-5.70506166801301,[-0.7655406 -0.6433876 -1.6501544]
141,[-0.7655406 -0.6433876 -1.6501544],[1.2451129],-6.240524445065361,[-0.8244205  -0.56597775 -1.9459281 ]
142,[-0.8244205  -0.56597775 -1.9459281 ],[0.41328415],-6.830301693089926,[-0.8841159  -0.46726772 -2.3084188 ]
143,[-0.8841159  -0.46726772 -2.3084188 ],[-0.26803797],-7.584073197873058,[-0.9389454 -0.3440662 -2.6990752]
144,[-0.9389454 -0.3440662 -2.6990752],[-1.5145521],-8.516839805635323,[-0.98161906 -0.19085069 -3.1843078 ]
145,[-0.98161906 -0.19085069 -3.1843078 ],[-1.7631663],-9.717017944463928,[-0.9999227  -0.01243233 -3.5919206 ]
146,[-0.9999227  -0.01243233 -3.5919206 ],[-0.779235],-11.082438983622604,[-0.98499113  0.17260511 -3.71813   ]
147,[-0.98499113  0.17260511 -3.71813   ],[-0.24210416],-10.192237023405019,[-0.9377426   0.34733105 -3.6249921 ]
148,[-0.9377426   0.34733105 -3.6249921 ],[-1.9951302],-9.084677153490878,[-0.8587805   0.51234365 -3.6637633 ]
149,[-0.8587805   0.51234365 -3.6637633 ],[1.2969389],-8.123153071619777,[-0.7698694  0.6382015 -3.0849648]
150,[-0.7698694  0.6382015 -3.0849648],[0.2925062],-6.951507285140906,[-0.6820152  0.731338  -2.5624375]
151,[-0.6820152  0.731338  -2.5624375],[-1.397793],-6.047046846303076,[-0.59666145  0.80249304 -2.223603  ]
152,[-0.59666145  0.80249304 -2.223603  ],[-1.1679654],-5.380483181780069,[-0.5222507  0.852792  -1.7969282]
153,[-0.5222507  0.852792  -1.7969282],[1.9078878],-4.8221408339130845,[-0.48462155  0.8747239  -0.8711509 ]
154,[-0.48462155  0.8747239  -0.8711509 ],[1.6615616],-4.391445404879227,[-0.4861134   0.8738957   0.03412625]
155,[-0.4861134   0.8738957   0.03412625],[-0.02643498],-4.320001382991254,[-0.51577836  0.85672206  0.6855828 ]
156,[-0.51577836  0.85672206  0.6855828 ],[1.3698202],-4.51243186928321,[-0.57989174  0.81469357  1.5335974 ]
157,[-0.57989174  0.81469357  1.5335974 ],[-1.2212485],-5.0301214261485825,[-0.6568755   0.75399905  1.9614303 ]
158,[-0.6568755   0.75399905  1.9614303 ],[1.2397648],-5.618747789419492,[-0.7528043   0.65824443  2.7128942 ]
159,[-0.7528043   0.65824443  2.7128942 ],[0.40911335],-6.607601014496568,[-0.8498545  0.5270173  3.2679446]
160,[-0.8498545  0.5270173  3.2679446],[-1.7594868],-7.761053117997879,[-0.92675227  0.375673    3.3992846 ]
161,[-0.92675227  0.375673    3.3992846 ],[1.557543],-8.75606530724372,[-0.9821194   0.18825915  3.9146707 ]
162,[-0.9821194   0.18825915  3.9146707 ],[-0.82568425],-10.248651069076756,[-0.999974   -0.00721126  3.9320126 ]
163,[-0.999974   -0.00721126  3.9320126 ],[0.38334918],-11.370565515902799,[-0.9787716  -0.20495392  3.9841063 ]
