,s,a,r,s1
146,[-0.12273177 -0.01978399 -0.19140259 -1.00376739],[-1.9840972],1.0,[-0.14365407 -0.02864427 -0.85212876  0.53723702]
147,[-0.14365407 -0.02864427 -0.85212876  0.53723702],[-1.7994658],1.0,[-0.18952502  0.01904487 -1.44027141  1.83837915]
148,[-0.18952502  0.01904487 -1.44027141  1.83837915],[0.88328665],1.0,[-0.24097869  0.07693823 -1.13477031  1.07896073]
149,[-0.24097869  0.07693823 -1.13477031  1.07896073],[-1.153642],1.0,[-0.29397288  0.13793571 -1.51412696  1.96811214]
150,[-0.29397288  0.13793571 -1.51412696  1.96811214],[2.649368],1.0,[-0.33698421  0.17721152 -0.64112699  0.03478058]
151,[-0.33698421  0.17721152 -0.64112699  0.03478058],[-0.25199378],1.0,[-0.36463645  0.18635378 -0.74106103  0.41867646]
152,[-0.36463645  0.18635378 -0.74106103  0.41867646],[-2.938873],1.0,[-0.41387787  0.25041923 -1.71589833  2.75295173]
153,[ 0.00451396 -0.00645595 -0.00517441 -0.00411474],[1.5276245],1.0,[ 0.01447885 -0.03019647  0.50202193 -1.17107097]
154,[ 0.01447885 -0.03019647  0.50202193 -1.17107097],[-0.02286763],1.0,[ 0.03428907 -0.07577878  0.48940422 -1.11775415]
155,[ 0.03428907 -0.07577878  0.48940422 -1.11775415],[-0.06592439],1.0,[ 0.0534144  -0.11969262  0.46772274 -1.08702229]
156,[ 0.0534144  -0.11969262  0.46772274 -1.08702229],[-1.0686867],1.0,[ 0.06513993 -0.14824291  0.12045303 -0.35737019]
157,[ 0.06513993 -0.14824291  0.12045303 -0.35737019],[0.41293266],1.0,[ 0.07295642 -0.17167662  0.27000564 -0.81207756]
158,[ 0.07295642 -0.17167662  0.27000564 -0.81207756],[-1.5367712],1.0,[ 0.07387933 -0.1839695  -0.22190756  0.18031984]
159,[ 0.07387933 -0.1839695  -0.22190756  0.18031984],[1.646212],1.0,[ 0.07628045 -0.20582376  0.33973757 -1.2553468 ]
160,[-0.00910348  0.0026129   0.00535068 -0.00151788],[-1.1215138],1.0,[-0.01635976  0.01988518 -0.3671491   0.85644677]
161,[-0.01635976  0.01988518 -0.3671491   0.85644677],[2.8806207],1.0,[-0.01180574  0.00926578  0.59165326 -1.35858128]
162,[-0.01180574  0.00926578  0.59165326 -1.35858128],[-2.9970543],1.0,[-0.00830713  0.00303916 -0.41294495  1.01275902]
163,[-0.00830713  0.00303916 -0.41294495  1.01275902],[-2.9543772],1.0,[-0.04431837  0.08764008 -1.38480619  3.19954304]
164,[-0.04431837  0.08764008 -1.38480619  3.19954304],[-2.9848986],1.0,[-0.11893794  0.25802888 -2.33841561  5.2951521 ]
165,[-0.00701479 -0.00474133  0.00916135  0.00458703],[-1.9691682],1.0,[-0.01973985  0.02561927 -0.64362232  1.498288  ]
166,[-0.01973985  0.02561927 -0.64362232  1.498288  ],[1.1710864],1.0,[-0.03752815  0.0662113  -0.24814999  0.55321628]
167,[-0.03752815  0.0662113  -0.24814999  0.55321628],[1.1489582],1.0,[-0.03989091  0.07160135  0.12859647 -0.27094073]
168,[-0.03989091  0.07160135  0.12859647 -0.27094073],[-0.31756008],1.0,[-0.03706346  0.06769439  0.01335257  0.07010665]
169,[-0.03706346  0.06769439  0.01335257  0.07010665],[-1.7892267],1.0,[-0.0485572   0.09938771 -0.5861153   1.49942454]
170,[-0.0485572   0.09938771 -0.5861153   1.49942454],[1.7491379],1.0,[-0.0604032   0.13310888 -0.00922504  0.21316226]
171,[-0.0604032   0.13310888 -0.00922504  0.21316226],[-1.7198153],1.0,[-0.07241053  0.17046795 -0.58899355  1.63936374]
172,[-0.07241053  0.17046795 -0.58899355  1.63936374],[2.2914882],1.0,[-0.08099863  0.20356207  0.15571881  0.04764947]
173,[ 0.00965659 -0.00675526  0.00472692 -0.00672269],[0.21910273],1.0,[ 0.01131353 -0.01050011  0.07792578 -0.17884801]
174,[ 0.01131353 -0.01050011  0.07792578 -0.17884801],[-0.46157137],1.0,[ 0.01135308 -0.01053027 -0.07540197  0.17239854]
175,[ 0.01135308 -0.01053027 -0.07540197  0.17239854],[2.5685475],1.0,[ 0.02546731 -0.0435269   0.77853819 -1.80048758]
176,[ 0.02546731 -0.0435269   0.77853819 -1.80048758],[-0.917385],1.0,[ 0.050321   -0.10003901  0.46654213 -1.0477192 ]
177,[ 0.050321   -0.10003901  0.46654213 -1.0477192 ],[-0.32308188],1.0,[ 0.06689239 -0.13789746  0.3631009  -0.85566375]
178,[ 0.06689239 -0.13789746  0.3631009  -0.85566375],[0.3021792],1.0,[ 0.08357476 -0.17867091  0.47109913 -1.18568647]
179,[ 0.08357476 -0.17867091  0.47109913 -1.18568647],[1.2328539],1.0,[ 0.11069635 -0.24686588  0.88333876 -2.21751768]
180,[ 0.00225551  0.00773284 -0.00369984  0.00086292],[2.6162283],1.0,[ 0.01948897 -0.0322083   0.8629712  -1.97774037]
181,[ 0.01948897 -0.0322083   0.8629712  -1.97774037],[-0.63273555],1.0,[ 0.04955466 -0.09965515  0.64250583 -1.41630425]
182,[ 0.04955466 -0.09965515  0.64250583 -1.41630425],[-2.378555],1.0,[ 0.05948406 -0.12048303 -0.14258518  0.3446462 ]
183,[ 0.05948406 -0.12048303 -0.14258518  0.3446462 ],[2.0263224],1.0,[ 0.06751892 -0.14068847  0.54179777 -1.33395543]
184,[ 0.06751892 -0.14068847  0.54179777 -1.33395543],[-1.12384],1.0,[ 0.08185917 -0.17850974  0.17745629 -0.57677833]
185,[ 0.08185917 -0.17850974  0.17745629 -0.57677833],[0.28364304],1.0,[ 0.09112379 -0.20911672  0.28561831 -0.9536599 ]
186,[ 0.0072435  -0.00622137 -0.00493719 -0.00913367],[-1.0978813],1.0,[-2.47526031e-04  1.01857774e-02 -3.68635077e-01  8.21071570e-01]
187,[-2.47526031e-04  1.01857774e-02 -3.68635077e-01  8.21071570e-01],[1.2479725],1.0,[-0.00659308  0.02303756  0.04956938 -0.1620394 ]
188,[-0.00659308  0.02303756  0.04956938 -0.1620394 ],[-1.3050518],1.0,[-0.01336881  0.03738616 -0.38700114  0.86770738]
189,[-0.01336881  0.03738616 -0.38700114  0.86770738],[-2.6477292],1.0,[-0.0463821   0.11237252 -1.26083793  2.86384525]
190,[-0.0463821   0.11237252 -1.26083793  2.86384525],[-2.340467],1.0,[-0.11189726  0.26054209 -2.0096133   4.52944188]
191,[ 0.00026697  0.00351545  0.00285955 -0.00529546],[-0.65189314],1.0,[-0.00396755  0.01344737 -0.21399467  0.4967986 ]
192,[-0.00396755  0.01344737 -0.21399467  0.4967986 ],[-2.932035],1.0,[-0.03197704  0.07800438 -1.18358741  2.71008717]
193,[-0.03197704  0.07800438 -1.18358741  2.71008717],[-1.8029226],1.0,[-0.09090648  0.21173271 -1.76014154  3.97280857]
194,[ 0.00026712 -0.00949648  0.00348858 -0.00769791],[-1.8529441],1.0,[-0.01190232  0.01849122 -0.61029498  1.3928779 ]
195,[-0.01190232  0.01849122 -0.61029498  1.3928779 ],[-0.10657306],1.0,[-0.03684878  0.07443414 -0.63796362  1.41479374]
196,[-0.03684878  0.07443414 -0.63796362  1.41479374],[1.4524367],1.0,[-0.05267474  0.10871689 -0.15595327  0.32268809]
