,s,a,r,s1
721,[-0.5162423  -0.00677396],[0.20607963],-0.004246881474332387,[-0.52276236 -0.00652   ]
722,[-0.52276236 -0.00652   ],[0.12915583],-0.0016681228306447916,[-0.5290949  -0.00633254]
723,[-0.5290949  -0.00633254],[0.47571936],-0.02263089118548658,[-0.5346726  -0.00557775]
724,[-0.5346726  -0.00557775],[-0.40934458],-0.016756298824527338,[-0.5407813  -0.00610872]
725,[-0.5407813  -0.00610872],[-0.74710906],-0.05581719408386476,[-0.5478819  -0.00710058]
726,[-0.5478819  -0.00710058],[-0.79670143],-0.06347331705947,[-0.5559956  -0.00811367]
727,[-0.5559956  -0.00811367],[0.6239493],-0.038931271564530336,[-0.5629307  -0.00693515]
728,[-0.5629307  -0.00693515],[0.21713613],-0.0047148098837120015,[-0.5692458  -0.00631514]
729,[-0.5692458  -0.00631514],[-0.5207045],-0.027113318447214853,[-0.57600075 -0.00675491]
730,[-0.57600075 -0.00675491],[-0.6107249],-0.037298493523144315,[-0.5832803 -0.0072796]
731,[-0.5832803 -0.0072796],[0.19417875],-0.00377053850682485,[-0.5898234  -0.00654311]
732,[-0.5898234  -0.00654311],[0.6352592],-0.04035542652408744,[-0.5949202 -0.0050968]
733,[-0.5949202 -0.0050968],[-0.864808],-0.07478929166035223,[-0.6007834  -0.00586317]
734,[-0.6007834  -0.00586317],[-0.8030027],-0.06448133604752826,[-0.60727733 -0.00649395]
735,[-0.60727733 -0.00649395],[-0.5743294],-0.0329854232390062,[-0.61401176 -0.00673442]
736,[-0.61401176 -0.00673442],[-0.28068367],-0.007878332062173232,[-0.6204974  -0.00648564]
737,[-0.6204974  -0.00648564],[0.02403865],-5.7785651931020754e-05,[-0.6262304  -0.00573303]
738,[-0.6262304  -0.00573303],[0.89343214],-0.07982209894109929,[-0.62986565 -0.00363525]
739,[-0.62986565 -0.00363525],[0.6183883],-0.03824040836077672,[-0.63178974 -0.0019241 ]
740,[-0.63178974 -0.0019241 ],[-0.5550998],-0.03081357716710933,[-0.63374925 -0.00195949]
741,[-0.63374925 -0.00195949],[0.51928455],-0.02696564401041748,[-6.3411862e-01 -3.6938468e-04]
742,[-6.3411862e-01 -3.6938468e-04],[-0.53031963],-0.02812389111297229,[-6.3446969e-01 -3.5106912e-04]
743,[-6.3446969e-01 -3.5106912e-04],[-0.83699065],-0.0700553355667669,[-0.63526    -0.00079027]
744,[-0.63526    -0.00079027],[0.25144267],-0.006322341671017285,[-6.3485122e-01  4.0877736e-04]
745,[-6.3485122e-01  4.0877736e-04],[0.04799498],-0.00023035183404910425,[-0.6335515   0.00129976]
746,[-0.6335515   0.00129976],[0.8866486],-0.07861457316061582,[-0.630112   0.0034395]
747,[-0.630112   0.0034395],[-0.3383734],-0.01144965529687605,[-0.62639475  0.00371727]
748,[-0.62639475  0.00371727],[0.98913515],-0.09783883373314808,[-0.620435    0.00595978]
749,[-0.620435    0.00595978],[0.34937897],-0.012206566694616417,[-0.61323506  0.00719994]
750,[-0.61323506  0.00719994],[-0.02384562],-5.686137924693219e-05,[-5.5733055e-01  2.1841803e-04]
751,[-5.5733055e-01  2.1841803e-04],[-0.64500266],-0.04160284354519242,[-5.5782706e-01 -4.9652922e-04]
752,[-5.5782706e-01 -4.9652922e-04],[0.36658263],-0.013438282613157071,[-5.5751747e-01  3.0960594e-04]
753,[-5.5751747e-01  3.0960594e-04],[0.93531704],-0.08748179643598633,[-0.55555093  0.00196653]
754,[-0.55555093  0.00196653],[0.2513003],-0.006315184335747493,[-0.5529682   0.00258276]
755,[-0.5529682   0.00258276],[-0.65450746],-0.04283800128525037,[-0.5511472   0.00182098]
756,[-0.5511472   0.00182098],[0.99959433],-0.09991888261428272,[-0.5476205   0.00352675]
757,[-0.5476205   0.00352675],[0.27059612],-0.0073222258417083635,[-0.5435078   0.00411265]
758,[-0.5435078   0.00411265],[-0.6638413],-0.044068528109619726,[-0.5402417   0.00326612]
759,[-0.5402417   0.00326612],[-0.6355362],-0.04039062536903657,[-0.5378041   0.00243759]
760,[-0.5378041   0.00243759],[-0.7187562],-0.05166104734328201,[-0.53633815  0.00146596]
761,[-0.53633815  0.00146596],[0.68014896],-0.04626026066462288,[-0.53375643  0.00258171]
762,[-0.53375643  0.00258171],[-0.5348993],-0.028611725512434207,[-0.5319009   0.00185553]
763,[-0.5319009   0.00185553],[-0.84261006],-0.0709991715182671,[-0.531247    0.00065387]
764,[-0.531247    0.00065387],[-0.360055],-0.012963960272969734,[-5.310759e-01  1.711454e-04]
765,[-5.310759e-01  1.711454e-04],[-0.77512723],-0.060082222590384406,[-0.5320114  -0.00093547]
766,[-0.5320114  -0.00093547],[0.57867104],-0.033486017039451,[-5.3201574e-01 -4.3772675e-06]
767,[-5.3201574e-01 -4.3772675e-06],[0.517867],-0.02681862594282656,[-0.5311802   0.00083554]
768,[-0.5311802   0.00083554],[-0.58395225],-0.03410002280569167,[-5.3116375e-01  1.6471220e-05]
