,s,a,r,s1
118,[-0.01214826  0.01153371 -0.4238312   0.95593314],[1.1561675],1.0,[-0.02129498  0.03104317 -0.03533388  0.03647022]
119,[-0.02129498  0.03104317 -0.03533388  0.03647022],[1.9479196],1.0,[-0.00982047  0.00330363  0.60739945 -1.40892609]
120,[-0.00982047  0.00330363  0.60739945 -1.40892609],[-0.9620952],1.0,[ 0.00784977 -0.03627431  0.27814288 -0.58943005]
121,[ 0.00784977 -0.03627431  0.27814288 -0.58943005],[0.5532196],1.0,[ 0.02263827 -0.06835001  0.46116815 -1.0144747 ]
122,[ 0.02263827 -0.06835001  0.46116815 -1.0144747 ],[2.0716825],1.0,[ 0.05480767 -0.14071263  1.14507862 -2.59118526]
123,[ 0.05480767 -0.14071263  1.14507862 -2.59118526],[0.10524064],1.0,[ 0.10110645 -0.24543948  1.17098589 -2.6626027 ]
124,[ 0.00203116 -0.00149976  0.00207849  0.00841549],[2.5315046],1.0,[ 0.01895303 -0.04005953  0.84162612 -1.91649634]
125,[ 0.01895303 -0.04005953  0.84162612 -1.91649634],[0.5629543],1.0,[ 0.05612577 -0.12361056  1.01754228 -2.27095185]
126,[ 0.05612577 -0.12361056  1.01754228 -2.27095185],[-2.991242],1.0,[ 0.0769429  -0.16896888  0.02876846 -0.04230673]
127,[ 0.0769429  -0.16896888  0.02876846 -0.04230673],[2.914588],1.0,[ 0.09765385 -0.21811506  1.00231066 -2.38424058]
128,[ 0.0002067  -0.00782979  0.00626554 -0.00571133],[-0.6207314],1.0,[-0.00365891  0.00134297 -0.19899972  0.45963683]
129,[-0.00365891  0.00134297 -0.19899972  0.45963683],[-2.769747],1.0,[-0.02997387  0.06171667 -1.1142214   2.54010962]
130,[-0.02997387  0.06171667 -1.1142214   2.54010962],[1.6538262],1.0,[-0.06328873  0.13608893 -0.55558598  1.21482557]
131,[-0.06328873  0.13608893 -0.55558598  1.21482557],[-2.1415083],1.0,[-0.09971935  0.21836231 -1.26265379  2.88234285]
132,[-0.00525716 -0.00284641  0.00323679 -0.00970327],[1.1205914],1.0,[ 0.0023276  -0.0204659   0.37500247 -0.86273734]
133,[ 0.0023276  -0.0204659   0.37500247 -0.86273734],[-0.6300279],1.0,[ 0.01304792 -0.04458582  0.16228675 -0.35529652]
134,[ 0.01304792 -0.04458582  0.16228675 -0.35529652],[-2.0285273],1.0,[ 0.00609479 -0.02820034 -0.50797861  1.15690839]
135,[ 0.00609479 -0.02820034 -0.50797861  1.15690839],[1.7283642],1.0,[-0.00249285 -0.01063664  0.07611969 -0.25557335]
136,[-0.00249285 -0.01063664  0.07611969 -0.25557335],[-1.2183282],1.0,[-0.00756844 -0.00201544 -0.32862385  0.6752883 ]
137,[-0.00756844 -0.00201544 -0.32862385  0.6752883 ],[-1.9338057],1.0,[-0.0334671   0.05377787 -0.9648878   2.10439748]
138,[-0.0334671   0.05377787 -0.9648878   2.10439748],[2.4479713],1.0,[-0.05559382  0.09896272 -0.14578318  0.19297649]
139,[-0.05559382  0.09896272 -0.14578318  0.19297649],[-0.2516467],1.0,[-0.06328567  0.11258649 -0.23860167  0.48669978]
